22.56633,63.44397,"SW","[15838]"
22.56144,63.44092,"NO","[15839]"
22.29283,60.30353,"SW","[15840]"
25.55122,64.75447,"N","[15841]"
27.34478,60.91286,"O","[15957]"
22.49203,63.40814,"NO","[16018]"
22.38964,63.31244,"S","[16019]"
22.36992,63.29100,"N","[16020]"
22.27383,63.24842,"NO","[16021]"
22.27722,63.25153,"SW","[16022]"
23.63319,61.53139,"NW","[16024]"
23.67756,61.51175,"SO","[16025]"
25.75281,62.23911,"N","[16029]"
27.61242,62.63528,"N","[16032]"
26.95250,61.01500,"NO","[16035]"
27.75350,60.95169,"O, inactive","[16037-]"
27.79678,60.95919,"W, inactive","[16041]"
27.34903,60.91308,"W","[16044]"
26.63375,65.26622,"[16061]","[16061]"
24.70861,60.31789,"SO","[17033-]"
24.73361,60.30861,"SO","[17034-]"
24.74439,60.30550,"NW, removed(?)","[17035]"
24.56439,60.34189,"NW","[17036-]"
24.52200,60.37761,"NW","[17037]"
25.34542,61.92889,"N","[17336]"
25.34917,61.93667,"S","[17337]"
25.38619,61.96975,"N","[17338]"
24.51847,65.84444,"N","[17349]"
24.65211,60.74481,"W","[17569]"
24.48236,60.71444,"W","[17570]"
24.39011,60.73250,"W","[17571]"
24.16331,60.78081,"W","[17572]"
21.59908,60.56431,"E","[17621]"
21.90431,60.62472,"W","[17622]"
21.74250,60.62750,"SW","[17623]"
21.89719,60.62853,"O","[17624]"
21.80100,60.64756,"W","[17625]"
21.85544,60.64903,"[17627]","[17627]"
22.10336,60.51969,"E","[17631]"
22.10806,60.51833,"W","[17632]"
22.13664,60.50597,"[17634]","[17634]"
25.48461,66.43139,"W","[17635]"
21.99206,60.57017,"S","[17636]"
22.00297,60.56478,"NW","[17637]"
22.04208,60.54350,"SE","[17638]"
24.51339,60.72572,"NO","[17639]"
24.71589,60.74797,"O","[17640]"
24.75394,60.75703,"W","[17641]"
24.78356,60.77122,"[17642]","[17642]"
24.90017,60.78439,"W","[17643]"
24.94517,60.78997,"O","[17644]"
25.01056,60.79364,"O","[17645]"
25.07622,60.82708,"S","[17646]"
25.17694,60.85158,"O","[17647-]"
25.18333,60.85183,"W","[17648]"
25.23933,60.86319,"O","[17649]"
21.84456,63.16069,"SW","[17658]"
21.95056,63.16039,"O","[17659]"
21.95806,63.15992,"[17660]","[17660]"
22.17056,63.20981,"[17663]","[17663]"
22.17375,63.21042,"W","[17664]"
22.49517,63.40944,"S","[17665]"
28.95019,61.87139,"N","[17667]"
24.69908,66.00319,"[17668]","[17668]"
24.76572,66.08356,"NO","[17671]"
24.77897,66.09258,"[17672]","[17672]"
24.94314,66.14006,"N","[17674]"
24.96564,66.14625,"[17676]","[17676]"
25.23625,66.17342,"O","[17678]"
25.26439,66.18033,"[17680]","[17680]"
25.33844,60.91000,"W","[17681]"
25.42219,60.94906,"[17682]","[17682]"
25.46472,60.96725,"W","[17683-]"
25.71775,60.97183,"W","[17684-]"
26.00881,60.92164,"[17688]","[17688]"
25.61778,60.97950,"O","[17691-]"
25.63967,60.97953,"[17692]","[17692]"
25.56206,60.98825,"W","[17696-]"
25.36058,61.94969,"N, 80 im Winter","[17697]"
25.39311,61.97342,"SW","[17698]"
25.57653,62.02236,"SW","[17699]"
25.65664,62.11933,"N","[17700]"
25.66258,62.12767,"S","[17701]"
25.67272,62.14408,"N","[17702]"
25.67500,62.14939,"S","[17703]"
28.75608,61.88456,"SO","[17705]"
28.77944,61.88283,"W","[17706]"
28.96125,61.87764,"W","[17710]"
29.04961,61.88142,"W","[17712]"
29.08081,61.88325,"O","[17713]"
29.11044,61.87986,"NW","[17714]"
29.14281,61.89206,"NO","[17715]"
29.14914,61.89333,"W","[17716]"
29.18317,61.89667,"O","[17717]"
29.18336,61.84681,"SO","[17718]"
29.20264,61.89714,"[17719]","[17719]"
29.24111,61.82594,"NW","[17720]"
29.28614,61.80561,"O","[17721]"
29.31900,61.80244,"NW","[17722]"
29.36803,61.76658,"SO","[17723]"
29.39486,61.73847,"N","[17724]"
27.92272,62.30186,"NW","[17725]"
27.99614,62.31356,"NO","[17726]"
28.00706,62.32297,"SW","[17727]"
28.03261,62.33539,"NO","[17728]"
28.59292,61.91317,"[17731]","[17731]"
28.61289,61.90617,"NW","[17732]"
28.68081,61.89836,"O","[17733]"
28.68897,61.89747,"W","[17734]"
29.25364,61.90464,"NO","[17735]"
29.26069,61.90853,"SW","[17736]"
29.27033,61.92928,"S","[17737]"
29.27136,61.92394,"[17738]","[17738]"
27.22506,63.62869,"[17740]","[17740]"
25.33208,66.27708,"[17743]","[17743]"
25.37161,66.36547,"[17746]","[17746]"
25.37975,66.37989,"S","[17748]"
25.41231,66.41575,"NO","[17750]"
25.59542,66.46131,"NO","[17754]"
25.60522,66.46478,"S","[17755]"
25.76603,65.12589,"NO","[17756]"
25.79575,65.13114,"[17757]","[17757]"
25.79972,65.13194,"[17759]","[17759]"
26.98722,65.36503,"N","[17766]"
27.00336,65.37600,"SW","[17767]"
27.31044,65.39864,"O","[17768]"
27.31908,65.39942,"W","[17769]"
25.81461,66.54231,"O","[17771]"
25.85089,66.54500,"W","[17772]"
26.19253,66.62122,"O","[17773]"
28.16575,62.40722,"SW","[17776]"
28.31997,62.46281,"SW","[17778]"
28.35636,62.86650,"W","[17779]"
28.36817,62.48753,"NO","[17780]"
28.37239,62.49028,"SW","[17781]"
28.47378,62.81808,"O","[17782]"
28.50664,62.79967,"N","[17783]"
28.54683,62.52894,"SO","[17784]"
28.55261,62.52772,"NW","[17785]"
28.65028,62.78778,"[17786]","[17786]"
28.91064,62.70353,"W","[17787]"
27.72775,62.98256,"[17788]","[17788]"
27.73981,62.98378,"SW","[17789]"
27.81603,62.97300,"O","[17790]"
27.91036,62.93969,"SO","[17792]"
27.94522,62.93531,"W","[17793]"
28.01631,62.93044,"O","[17794]"
28.07267,62.92992,"W","[17795]"
28.13025,62.91814,"O","[17796]"
28.15828,62.90961,"NW","[17797]"
28.31831,62.87208,"O","[17798]"
27.54453,65.42983,"W","[17800]"
22.13011,60.50850,"SO","[18705]"
24.64300,60.74367,"O","[18706]"
24.25011,60.76603,"O","[18707]"
24.13317,60.78772,"O","[18708]"
27.85075,62.30331,"S","[18709]"
25.36906,65.34461,"S","[18710]"
28.62922,62.51331,"[18711]","[18711]"
29.32083,62.63389,"W","[18712]"
29.30544,62.63464,"O","[18715]"
28.67606,62.78364,"W","[18716]"
28.96572,62.70056,"W","[18717]"
29.13422,62.66744,"SE","[18718]"
25.91700,63.71544,"S","[19397]"
25.19389,65.59972,"S","[19398]"
25.17819,65.60858,"[19399]","[19399]"
25.37494,65.30528,"N","[19400]"
25.36858,65.34244,"N","[19401]"
25.37078,65.46619,"S","[19402]"
25.26797,65.52100,"N","[19403]"
25.25694,65.52989,"S","[19404]"
25.91750,63.71264,"N","[19529]"
25.37750,65.46056,"N","[19763]"
25.19586,65.59142,"S","[19764]"
27.80767,61.92342,"S","[20111]"
23.06639,59.86569,"NE, 60 or 80 km/h (?)","[20763-]"
23.07297,59.86742,"SW","[20764-]"
30.04622,62.14536,"S, before a gas station","[20774]"
30.03853,62.13769,"N","[20775]"
29.96069,62.09386,"S","[20776]"
29.94094,62.07853,"N","[20777]"
23.23289,59.90642,"O","[20850-]"
23.25378,59.90783,"[20851]","[20851]"
23.36583,59.95617,"N","[20852-]"
23.38536,59.97122,"[20853-]","[20853-]"
23.43825,59.98211,"W","[20854]"
23.47931,59.98764,"[20855]","[20855]"
22.25017,61.15147,"O","[20856]"
22.28203,61.15692,"O","[20857]"
22.29019,61.15842,"[20858]","[20858]"
22.31519,61.16272,"O","[20859]"
22.51453,61.17286,"W","[20860]"
22.72864,61.26214,"N","[20861]"
22.72922,61.26347,"S","[20862]"
22.81314,61.30633,"N","[20863]"
22.81519,61.30736,"S","[20864]"
23.54806,60.01028,"SW","[20866]"
23.58886,60.02931,"N","[20867-]"
23.70547,60.07311,"S","[20868]"
23.71200,60.07561,"NO","[20869]"
23.87578,60.13586,"SW","[20870-]"
23.89058,60.14375,"N","[20871]"
23.95425,60.16703,"SW","[20872]"
23.98297,60.17700,"NO","[20873]"
24.06647,60.24364,"NE","[20875]"
24.97733,60.44069,"SE","[20876]"
22.86892,61.31825,"W","[20877]"
22.66547,62.75936,"N","[20879]"
23.01475,61.33422,"NO","[20882]"
23.02047,61.33600,"S, removed (?)","[20883]"
23.08947,61.35875,"N","[20884]"
23.09089,61.35931,"S","[20885]"
25.19492,65.59764,"[20886]","[20886]"
27.83872,62.13222,"N","[20888]"
27.30328,63.16208,"S","[20889]"
27.33292,63.14239,"NW","[20890]"
27.28964,63.66789,"N","[20892]"
27.29494,63.67042,"S","[20893]"
26.64139,65.26611,"W","[20894]"
26.86008,65.27503,"W","[20895]"
26.79461,65.28211,"O","[20896]"
26.97553,65.34819,"N","[20897]"
27.10692,65.40017,"W","[20898]"
27.36583,62.65014,"SO","[20899]"
27.37350,62.64197,"[20900]","[20900]"
28.65414,62.51794,"[20901]","[20901]"
29.15839,62.65875,"NW","[20902]"
29.35347,62.63306,"O","[20903]"
29.37894,62.63353,"W","[20904]"
29.54011,62.61536,"O","[20905]"
27.54928,63.08719,"O","[20906]"
27.56947,63.08161,"W","[20907]"
27.63036,63.07114,"NW","[20908]"
27.43383,63.10344,"NW","[20911]"
27.42947,63.10522,"[20912]","[20912]"
27.38531,63.12125,"[20913]","[20913]"
27.76994,63.12411,"N","[20914]"
27.78869,63.13383,"W","[20915]"
27.86728,63.14339,"SW","[20917]"
